time,time (seconds),.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:01:34.940000,8.3,-0.0514999628067,0.0400500297546,0,0,0,0
1970/01/01/07:01:34.989000,8.35,-0.0500999689102,0.0389499664307,0,0,0,0
1970/01/01/07:01:35.039000,8.4,-0.0486999750137,0.037850022316,0,0,0,0
1970/01/01/07:01:35.089000,8.45,-0.0473500490189,0.0368000268936,0,0,0,0
1970/01/01/07:01:35.139000,8.5,-0.046049952507,0.0357999801636,0,0,0,0
1970/01/01/07:01:35.189000,8.55,-0.0447499752045,0.0348000526428,0,0,0,0
1970/01/01/07:01:35.239000,8.6,-0.0434999465942,0.0338000059128,0,0,0,0
1970/01/01/07:01:35.289000,8.65,-0.0422999858856,0.0328999757767,0,0,0,0
1970/01/01/07:01:35.339000,8.7,-0.0411499738693,0.0319999456406,0,0,0,0
1970/01/01/07:01:35.390000,8.75,-0.039999961853,0.0311000347137,0,0,0,0
1970/01/01/07:01:35.439000,8.8,-0.0389000177383,0.03024995327,0,0,0,0
1970/01/01/07:01:35.489000,8.85,-0.0377999544144,0.0293999910355,0,0,0,0
1970/01/01/07:01:35.539000,8.9,-0.0368000268936,0.0285999774933,0,0,0,0
1970/01/01/07:01:35.590000,8.95,-0.0357500314713,0.0277999639511,0,0,0,0
1970/01/01/07:01:35.639000,9,-0.0348000526428,0.0270500183105,0,0,0,0
1970/01/01/07:01:35.690000,9.05,-0.0338000059128,0.0262999534607,0,0,0,0
1970/01/01/07:01:35.740000,9.1,-0.0328999757767,0.0255500078201,0,0,0,0
1970/01/01/07:01:35.789000,9.15,-0.0319999456406,0.0248500108719,0,0,0,0
1970/01/01/07:01:35.840000,9.2,-0.0311000347137,0.024199962616,0,0,0,0
1970/01/01/07:01:35.889000,9.25,-0.03024995327,0.0234999656677,0,0,0,0
1970/01/01/07:01:35.940000,9.3,-0.0293999910355,0.0228500366211,0,0,0,0
1970/01/01/07:01:35.989000,9.35,-0.0285999774933,0.0222500562668,0,0,0,0
1970/01/01/07:01:36.039000,9.4,-0.0285999774933,0.0222500562668,0,0,0,0
1970/01/01/07:01:36.089000,9.45,-0.0278500318527,0.0216499567032,0,0,0,0
1970/01/01/07:01:36.139000,9.5,-0.0270500183105,0.0210499763489,0,0,0,0
1970/01/01/07:01:36.190000,9.55,-0.0263500213623,0.0204499959946,0,0,0,0
1970/01/01/07:01:36.239000,9.6,-0.0255999565125,0.0198999643326,0,0,0,0
1970/01/01/07:01:36.289000,9.65,-0.0248999595642,0.0193500518799,0,0,0,0
1970/01/01/07:01:36.339000,9.7,-0.024199962616,0.0188000202179,0,0,0,0
1970/01/01/07:01:36.389000,9.75,-0.0234999656677,0.0182499885559,0,0,0,0
1970/01/01/07:01:36.439000,9.8,-0.0228500366211,0.0177500247955,0,0,0,0
1970/01/01/07:01:36.490000,9.85,-0.0221999883652,0.0172499418259,0,0,0,0
1970/01/01/07:01:36.540000,9.9,-0.0215500593185,0.0167499780655,0,0,0,0
1970/01/01/07:01:36.589000,9.95,-0.0209499597549,0.0162999629974,0,0,0,0
1970/01/01/07:01:36.639000,10,-0.0204000473022,0.0158499479294,0,0,0,0
1970/01/01/07:01:36.690000,10.05,-0.0197999477386,0.0154000520706,0,0,0,0
1970/01/01/07:01:36.739000,10.1,-0.0192500352859,0.0149500370026,0,0,0,0
1970/01/01/07:01:36.790000,10.15,-0.018700003624,0.0145499706268,0,0,0,0
1970/01/01/07:01:36.840000,10.2,-0.0182000398636,0.0141500234604,0,0,0,0
1970/01/01/07:01:36.890000,10.25,-0.0176999568939,0.0137499570847,0,0,0,0
1970/01/01/07:01:36.939000,10.3,-0.0171999931335,0.0133500099182,0,0,0,0
1970/01/01/07:01:36.990000,10.35,-0.0167000293732,0.0130000114441,0,0,0,0
1970/01/01/07:01:37.040000,10.4,-0.0162500143051,0.0125999450684,0,0,0,0
1970/01/01/07:01:37.090000,10.45,-0.0157999992371,0.0122499465942,0,0,0,0
1970/01/01/07:01:37.139000,10.5,-0.015349984169,0.0119500160217,0,0,0,0
1970/01/01/07:01:37.189000,10.55,-0.014899969101,0.0116000175476,0,0,0,0
1970/01/01/07:01:37.239000,10.6,-0.0145000219345,0.0112500190735,0,0,0,0
1970/01/01/07:01:37.289000,10.65,-0.0140999555588,0.0109499692917,0,0,0,0
1970/01/01/07:01:37.339000,10.7,-0.0137000083923,0.0106500387192,0,0,0,0
1970/01/01/07:01:37.389000,10.75,-0.0132999420166,0.0103499889374,0,0,0,0
1970/01/01/07:01:37.439000,10.8,-0.0129499435425,0.0100500583649,0,0,0,0
1970/01/01/07:01:37.489000,10.85,-0.0125999450684,0.00979995727539,0,0,0,0
1970/01/01/07:01:37.540000,10.9,-0.0122499465942,0.00950002670288,0,0,0,0
1970/01/01/07:01:37.589000,10.95,-0.0118999481201,0.00925004482269,0,0,0,0
1970/01/01/07:01:37.639000,11,-0.011549949646,0.00899994373322,0,0,0,0
1970/01/01/07:01:37.690000,11.05,-0.0112500190735,0.00874996185303,0,0,0,0
1970/01/01/07:01:37.740000,11.1,-0.0109499692917,0.00849997997284,0,0,0,0
1970/01/01/07:01:37.790000,11.15,-0.0106500387192,0.00824999809265,0,0,0,0
1970/01/01/07:01:37.839000,11.2,-0.0103499889374,0.00804996490479,0,0,0,0
1970/01/01/07:01:37.890000,11.25,-0.0100500583649,0.0077999830246,0,0,0,0
1970/01/01/07:01:37.939000,11.3,-0.00979995727539,0.00759994983673,0,0,0,0
1970/01/01/07:01:37.994000,11.35,-0.00950002670288,0.00740003585815,0,0,0,0
1970/01/01/07:01:38.039000,11.4,-0.00925004482269,0.00720000267029,0,0,0,0
1970/01/01/07:01:38.089000,11.45,-0.00899994373322,0.00699996948242,0,0,0,0
1970/01/01/07:01:38.139000,11.5,-0.00874996185303,0.00680005550385,0,0,0,0
1970/01/01/07:01:38.189000,11.55,-0.00849997997284,0.00660002231598,0,0,0,0
1970/01/01/07:01:38.239000,11.6,-0.00824999809265,0.00645005702972,0,0,0,0
1970/01/01/07:01:38.290000,11.65,-0.00804996490479,0.00625002384186,0,0,0,0
1970/01/01/07:01:38.340000,11.7,-0.0077999830246,0.0061000585556,0,0,0,0
1970/01/01/07:01:38.390000,11.75,-0.00759994983673,0.00590002536774,0,0,0,0
1970/01/01/07:01:38.439000,11.8,-0.00740003585815,0.00574994087219,0,0,0,0
1970/01/01/07:01:38.489000,11.85,-0.00720000267029,0.00559997558594,0,0,0,0
1970/01/01/07:01:38.539000,11.9,-0.00720000267029,0.00559997558594,0,0,0,0
1970/01/01/07:01:38.589000,11.95,-0.00699996948242,0.00545001029968,0,0,0,0
1970/01/01/07:01:38.640000,12,-0.00680005550385,0.00530004501343,0,0,0,0
1970/01/01/07:01:38.689000,12.05,-0.00660002231598,0.00514996051788,0,0,0,0
1970/01/01/07:01:38.739000,12.1,-0.00645005702972,0.00499999523163,0,0,0,0
1970/01/01/07:01:38.790000,12.15,-0.00625002384186,0.00485002994537,0,0,0,0
1970/01/01/07:01:38.839000,12.2,-0.0061000585556,0.00475001335144,0,0,0,0
1970/01/01/07:01:38.889000,12.25,-0.00590002536774,0.00460004806519,0,0,0,0
1970/01/01/07:01:38.939000,12.3,-0.00574994087219,0.00444996356964,0,0,0,0
1970/01/01/07:01:38.989000,12.35,-0.00559997558594,0.00434994697571,0,0,0,0
1970/01/01/07:01:39.039000,12.4,-0.00545001029968,0.00425004959106,0,0,0,0
1970/01/01/07:01:39.090000,12.45,-0.00530004501343,0.00409996509552,0,0,0,0
1970/01/01/07:01:39.140000,12.5,-0.00514996051788,0.00399994850159,0,0,0,0
1970/01/01/07:01:39.189000,12.55,-0.00499999523163,0.00390005111694,0,0,0,0
1970/01/01/07:01:39.240000,12.6,-0.00485002994537,0.0037499666214,0,0,0,0
1970/01/01/07:01:39.289000,12.65,-0.00469994544983,0.00364995002747,0,0,0,0
1970/01/01/07:01:39.339000,12.7,-0.00460004806519,0.00355005264282,0,0,0,0
1970/01/01/07:01:39.390000,12.75,-0.00444996356964,0.00345003604889,0,0,0,0
1970/01/01/07:01:39.440000,12.8,-0.00434994697571,0.00335001945496,0,0,0,0
1970/01/01/07:01:39.490000,12.85,-0.00419998168945,0.00329995155334,0,0,0,0
1970/01/01/07:01:39.539000,12.9,-0.00409996509552,0.0032000541687,0,0,0,0
1970/01/01/07:01:39.590000,12.95,-0.00394999980927,0.00310003757477,0,0,0,0
1970/01/01/07:01:39.639000,13,-0.00384998321533,0.00300002098083,0,0,0,0
1970/01/01/07:01:39.689000,13.05,-0.0037499666214,0.00294995307922,0,0,0,0
1970/01/01/07:01:39.740000,13.1,-0.00364995002747,0.00285005569458,0,0,0,0
1970/01/01/07:01:39.789000,13.15,-0.00355005264282,0.00275003910065,0,0,0,0
1970/01/01/07:01:39.839000,13.2,-0.00345003604889,0.00269997119904,0,0,0,0
1970/01/01/07:01:39.889000,13.25,-0.00335001945496,0.0025999546051,0,0,0,0
1970/01/01/07:01:39.940000,13.3,-0.00325000286102,0.00255000591278,0,0,0,0
1970/01/01/07:01:39.989000,13.35,-0.00314998626709,0.00244998931885,0,0,0,0
1970/01/01/07:01:40.039000,13.4,-0.00310003757477,0.00240004062653,0,0,0,0
1970/01/01/07:01:40.089000,13.45,-0.00300002098083,0.00234997272491,0,0,0,0
1970/01/01/07:01:40.139000,13.5,-0.0029000043869,0.00230002403259,0,0,0,0
1970/01/01/07:01:40.189000,13.55,-0.00285005569458,0.00220000743866,0,0,0,0
1970/01/01/07:01:40.240000,13.6,-0.00275003910065,0.00215005874634,0,0,0,0
1970/01/01/07:01:40.290000,13.65,-0.00269997119904,0.00209999084473,0,0,0,0
1970/01/01/07:01:40.340000,13.7,-0.0025999546051,0.0020500421524,0,0,0,0
1970/01/01/07:01:40.389000,13.75,-0.00255000591278,0.00199997425079,0,0,0,0
1970/01/01/07:01:40.440000,13.8,-0.00244998931885,0.00195002555847,0,0,0,0
1970/01/01/07:01:40.490000,13.85,-0.00240004062653,0.00185000896454,0,0,0,0
1970/01/01/07:01:40.539000,13.9,-0.00234997272491,0.00179994106293,0,0,0,0
1970/01/01/07:01:40.590000,13.95,-0.00224995613098,0.00174999237061,0,0,0,0
1970/01/01/07:01:40.639000,14,-0.00220000743866,0.00170004367828,0,0,0,0
1970/01/01/07:01:40.690000,14.05,-0.00215005874634,0.00170004367828,0,0,0,0
1970/01/01/07:01:40.740000,14.1,-0.00209999084473,0.00164997577667,0,0,0,0
1970/01/01/07:01:40.790000,14.15,-0.0020500421524,0.00160002708435,0,0,0,0
1970/01/01/07:01:40.839000,14.2,-0.00199997425079,0.00154995918274,0,0,0,0
1970/01/01/07:01:40.889000,14.25,-0.00189995765686,0.00150001049042,0,0,0,0
1970/01/01/07:01:40.939000,14.3,-0.00185000896454,0.00144994258881,0,0,0,0
