rosbagTimestamp,layout,dim,data_offset,data
82525000000,,[],0,"[13.070180892944336, 15.450909614562988]"
82534000000,,[],0,"[13.131319999694824, 15.572099685668945]"
82544000000,,[],0,"[13.216028213500977, 15.643003463745117]"
82555000000,,[],0,"[13.249224662780762, 15.729660987854004]"
82565000000,,[],0,"[13.300657272338867, 15.81486701965332]"
82575000000,,[],0,"[13.305790901184082, 15.831857681274414]"
82584000000,,[],0,"[13.362135887145996, 15.923081398010254]"
82595000000,,[],0,"[13.417919158935547, 16.01288604736328]"
82605000000,,[],0,"[13.47248649597168, 16.12689971923828]"
82615000000,,[],0,"[13.525405883789062, 16.192649841308594]"
82624000000,,[],0,"[13.577431678771973, 16.28136444091797]"
82634000000,,[],0,"[13.628924369812012, 16.392099380493164]"
82644000000,,[],0,"[13.678598403930664, 16.45441436767578]"
82654000000,,[],0,"[13.726714134216309, 16.54041290283203]"
82664000000,,[],0,"[13.773580551147461, 16.61737060546875]"
82676000000,,[],0,"[13.796051979064941, 16.658790588378906]"
82684000000,,[],0,"[13.796051979064941, 16.658790588378906]"
82695000000,,[],0,"[13.866692543029785, 16.812814712524414]"
82704000000,,[],0,"[13.91182804107666, 16.868867874145508]"
82714000000,,[],0,"[13.955608367919922, 16.974411010742188]"
82725000000,,[],0,"[13.999641418457031, 17.053813934326172]"
82735000000,,[],0,"[14.042728424072266, 17.106821060180664]"
82744000000,,[],0,"[14.084222793579102, 17.207937240600586]"
82754000000,,[],0,"[14.12429428100586, 17.28394317626953]"
82764000000,,[],0,"[14.164504051208496, 17.352176666259766]"
82775000000,,[],0,"[14.204294204711914, 17.403284072875977]"
82784000000,,[],0,"[14.239913940429688, 17.408193588256836]"
82794000000,,[],0,"[14.243465423583984, 17.479825973510742]"
82804000000,,[],0,"[14.280049324035645, 17.552509307861328]"
82815000000,,[],0,"[14.316825866699219, 17.624540328979492]"
82825000000,,[],0,"[14.353240966796875, 17.696115493774414]"
82835000000,,[],0,"[14.388893127441406, 17.76666831970215]"
82845000000,,[],0,"[14.422905921936035, 17.86107063293457]"
82854000000,,[],0,"[14.455892562866211, 17.90630531311035]"
82864000000,,[],0,"[14.488247871398926, 17.9987850189209]"
82875000000,,[],0,"[14.52061653137207, 18.04054069519043]"
82885000000,,[],0,"[14.552637100219727, 18.099273681640625]"
82895000000,,[],0,"[14.579924583435059, 18.10513687133789]"
82905000000,,[],0,"[14.582642555236816, 18.19393539428711]"
82915000000,,[],0,"[14.612062454223633, 18.233688354492188]"
82925000000,,[],0,"[14.641861915588379, 18.296894073486328]"
82934000000,,[],0,"[14.670722007751465, 18.360271453857422]"
82944000000,,[],0,"[14.698332786560059, 18.42296600341797]"
82954000000,,[],0,"[14.725499153137207, 18.460168838500977]"
82964000000,,[],0,"[14.752931594848633, 18.568758010864258]"
82975000000,,[],0,"[14.780393600463867, 18.628110885620117]"
82985000000,,[],0,"[14.805980682373047, 18.663503646850586]"
82994000000,,[],0,"[14.830545425415039, 18.716272354125977]"
83004000000,,[],0,"[14.853282928466797, 18.72153663635254]"
83014000000,,[],0,"[14.855545997619629, 18.778730392456055]"
83025000000,,[],0,"[14.880497932434082, 18.83515739440918]"
83035000000,,[],0,"[14.904725074768066, 18.891355514526367]"
83045000000,,[],0,"[14.92725658416748, 18.94782829284668]"
83054000000,,[],0,"[14.94959545135498, 19.003398895263672]"
83065000000,,[],0,"[14.971878051757812, 19.058074951171875]"
83074000000,,[],0,"[14.993179321289062, 19.136266708374023]"
83084000000,,[],0,"[15.013322830200195, 19.19002914428711]"
83094000000,,[],0,"[15.032657623291016, 19.219335556030273]"
83105000000,,[],0,"[15.051498413085938, 19.266742706298828]"
83114000000,,[],0,"[15.069238662719727, 19.27147102355957]"
83124000000,,[],0,"[15.071001052856445, 19.322568893432617]"
83134000000,,[],0,"[15.090052604675293, 19.372411727905273]"
83145000000,,[],0,"[15.107353210449219, 19.423166275024414]"
83154000000,,[],0,"[15.124722480773926, 19.473573684692383]"
83164000000,,[],0,"[15.142696380615234, 19.522361755371094]"
83174000000,,[],0,"[15.159672737121582, 19.5707950592041]"
83184000000,,[],0,"[15.175506591796875, 19.643301010131836]"
83196000000,,[],0,"[15.191015243530273, 19.666893005371094]"
83204000000,,[],0,"[15.207030296325684, 19.713796615600586]"
83215000000,,[],0,"[15.22305965423584, 19.770952224731445]"
83225000000,,[],0,"[15.235594749450684, 19.800119400024414]"
83235000000,,[],0,"[15.236835479736328, 19.804533004760742]"
83245000000,,[],0,"[15.250452041625977, 19.849992752075195]"
83254000000,,[],0,"[15.264799118041992, 19.894271850585938]"
83264000000,,[],0,"[15.27827262878418, 19.938222885131836]"
83275000000,,[],0,"[15.29040813446045, 19.983081817626953]"
83284000000,,[],0,"[15.302630424499512, 20.027475357055664]"
83295000000,,[],0,"[15.314987182617188, 20.095293045043945]"
83304000000,,[],0,"[15.327130317687988, 20.137426376342773]"
83314000000,,[],0,"[15.339049339294434, 20.15448570251465]"
83325000000,,[],0,"[15.349337577819824, 20.192485809326172]"
83335000000,,[],0,"[15.359320640563965, 20.196271896362305]"
83344000000,,[],0,"[15.360305786132812, 20.237279891967773]"
83354000000,,[],0,"[15.371133804321289, 20.300500869750977]"
83364000000,,[],0,"[15.381502151489258, 20.339845657348633]"
83374000000,,[],0,"[15.390467643737793, 20.356327056884766]"
83384000000,,[],0,"[15.399747848510742, 20.395282745361328]"
83394000000,,[],0,"[15.409557342529297, 20.45655059814453]"
83404000000,,[],0,"[15.41820240020752, 20.49479103088379]"
83414000000,,[],0,"[15.426118850708008, 20.53304672241211]"
83425000000,,[],0,"[15.434812545776367, 20.546432495117188]"
83435000000,,[],0,"[15.443557739257812, 20.578527450561523]"
83445000000,,[],0,"[15.45118236541748, 20.610361099243164]"
83455000000,,[],0,"[15.451931953430176, 20.616697311401367]"
83465000000,,[],0,"[15.458528518676758, 20.653310775756836]"
83475000000,,[],0,"[15.46601390838623, 20.688814163208008]"
83485000000,,[],0,"[15.473381996154785, 20.72300910949707]"
83495000000,,[],0,"[15.480121612548828, 20.781597137451172]"
83505000000,,[],0,"[15.485332489013672, 20.793426513671875]"
83514000000,,[],0,"[15.490808486938477, 20.82891082763672]"
83524000000,,[],0,"[15.49658203125, 20.886396408081055]"
83534000000,,[],0,"[15.502228736877441, 20.895328521728516]"
83544000000,,[],0,"[15.507765769958496, 20.924680709838867]"
83555000000,,[],0,"[15.512415885925293, 20.954599380493164]"
83565000000,,[],0,"[15.512866973876953, 20.9605712890625]"
83575000000,,[],0,"[15.517820358276367, 20.9920654296875]"
83585000000,,[],0,"[15.52265739440918, 21.023073196411133]"
83595000000,,[],0,"[15.527420043945312, 21.053913116455078]"
83604000000,,[],0,"[15.531004905700684, 21.085220336914062]"
83615000000,,[],0,"[15.535260200500488, 21.115175247192383]"
83624000000,,[],0,"[15.53943920135498, 21.168594360351562]"
83634000000,,[],0,"[15.54352855682373, 21.173908233642578]"
83644000000,,[],0,"[15.570898056030273, 21.223737716674805]"
83655000000,,[],0,"[15.550251960754395, 21.23274040222168]"
83664000000,,[],0,"[15.553091049194336, 21.23322296142578]"
83674000000,,[],0,"[15.553360939025879, 21.261598587036133]"
83684000000,,[],0,"[15.555909156799316, 21.289710998535156]"
83694000000,,[],0,"[15.5572509765625, 21.319177627563477]"
83704000000,,[],0,"[15.559694290161133, 21.347492218017578]"
83714000000,,[],0,"[15.561814308166504, 21.375606536865234]"
83725000000,,[],0,"[15.563873291015625, 21.427017211914062]"
83735000000,,[],0,"[15.565940856933594, 21.454099655151367]"
83745000000,,[],0,"[15.568222999572754, 21.480613708496094]"
83754000000,,[],0,"[15.570785522460938, 21.48261260986328]"
83764000000,,[],0,"[15.594955444335938, 21.505596160888672]"
83774000000,,[],0,"[15.575831413269043, 21.50787925720215]"
83785000000,,[],0,"[15.575831413269043, 21.532821655273438]"
83795000000,,[],0,"[15.57645320892334, 21.558246612548828]"
83805000000,,[],0,"[15.577620506286621, 21.583406448364258]"
83815000000,,[],0,"[15.578948020935059, 21.60835075378418]"
83824000000,,[],0,"[15.580241203308105, 21.632003784179688]"
83834000000,,[],0,"[15.580641746520996, 21.679548263549805]"
83844000000,,[],0,"[15.580765724182129, 21.703989028930664]"
83854000000,,[],0,"[15.581291198730469, 21.7280330657959]"
83864000000,,[],0,"[15.605545997619629, 21.72772789001465]"
83875000000,,[],0,"[15.58053970336914, 21.749210357666016]"
83884000000,,[],0,"[15.58053970336914, 21.751344680786133]"
83895000000,,[],0,"[15.579893112182617, 21.77506446838379]"
83905000000,,[],0,"[15.579029083251953, 21.79867172241211]"
83915000000,,[],0,"[15.578434944152832, 21.822031021118164]"
83924000000,,[],0,"[15.577788352966309, 21.84444236755371]"
83934000000,,[],0,"[15.577224731445312, 21.865915298461914]"
83944000000,,[],0,"[15.576712608337402, 21.887653350830078]"
83954000000,,[],0,"[15.576191902160645, 21.909019470214844]"
83964000000,,[],0,"[15.575658798217773, 21.952299118041992]"
83974000000,,[],0,"[15.574652671813965, 21.949216842651367]"
83985000000,,[],0,"[15.573467254638672, 21.96753692626953]"
83994000000,,[],0,"[15.572367668151855, 21.96935272216797]"
84004000000,,[],0,"[15.572367668151855, 21.98533821105957]"
84015000000,,[],0,"[15.570982933044434, 22.008800506591797]"
84024000000,,[],0,"[15.56949234008789, 22.03001594543457]"
84035000000,,[],0,"[15.56762981414795, 22.051130294799805]"
84044000000,,[],0,"[15.565458297729492, 22.095020294189453]"
84055000000,,[],0,"[15.56329345703125, 22.114938735961914]"
84065000000,,[],0,"[15.561962127685547, 22.134477615356445]"
84075000000,,[],0,"[15.5600004196167, 22.153268814086914]"
84083000000,,[],0,"[15.557632446289062, 22.148000717163086]"
84094000000,,[],0,"[15.555261611938477, 22.182716369628906]"
84104000000,,[],0,"[15.554481506347656, 22.189632415771484]"
84115000000,,[],0,"[15.554388999938965, 22.184091567993164]"
84124000000,,[],0,"[15.552220344543457, 22.203289031982422]"
84134000000,,[],0,"[15.55005931854248, 22.22051429748535]"
84144000000,,[],0,"[15.547883033752441, 22.237171173095703]"
84154000000,,[],0,"[15.545624732971191, 22.254335403442383]"
84164000000,,[],0,"[15.543462753295898, 22.27220344543457]"
84174000000,,[],0,"[15.54163932800293, 22.31340217590332]"
84184000000,,[],0,"[15.539978981018066, 22.32977867126465]"
84194000000,,[],0,"[15.538328170776367, 22.321887969970703]"
84205000000,,[],0,"[15.535172462463379, 22.337575912475586]"
84215000000,,[],0,"[15.532896995544434, 22.339128494262695]"
84224000000,,[],0,"[15.532654762268066, 22.356151580810547]"
84234000000,,[],0,"[15.530139923095703, 22.37163543701172]"
84244000000,,[],0,"[15.527313232421875, 22.387548446655273]"
84254000000,,[],0,"[15.522988319396973, 22.405025482177734]"
