time,.x,.y,.z
1970/01/01/07:21:51.485000,-0.00819801781263,0.00357865002129,0.0
1970/01/01/07:21:51.535000,-0.00819801781263,0.00357865002129,0.0
1970/01/01/07:21:51.585000,-0.00840414969826,0.00366865830512,0.0
1970/01/01/07:21:51.635000,-0.00850600186699,0.00371312201849,0.0
1970/01/01/07:21:51.685000,-0.00860698266064,0.00375720114323,0.0
1970/01/01/07:21:51.735000,-0.00870705833588,0.00380088240783,0.0
1970/01/01/07:21:51.786000,-0.00870705833588,0.00380088240783,0.0
1970/01/01/07:21:51.835000,-0.00890443645903,0.00388702971795,0.0
1970/01/01/07:21:51.885000,-0.00890443645903,0.00388702971795,0.0
1970/01/01/07:21:51.935000,-0.0090017123104,0.00392948520216,0.0
1970/01/01/07:21:51.985000,-0.00909805516728,0.00397153298837,0.0
1970/01/01/07:21:52.035000,-0.00919346941347,0.00401317516896,0.0
1970/01/01/07:21:52.085000,-0.00928796210733,0.00405441494087,0.0
1970/01/01/07:21:52.135000,-0.00938154196767,0.00409525618495,0.0
1970/01/01/07:21:52.185000,-0.00947421880591,0.00413570323241,0.0
1970/01/01/07:21:52.235000,-0.00956600316269,0.00417576071549,0.0
1970/01/01/07:21:52.285000,-0.00965690606105,0.00421543346576,0.0
1970/01/01/07:21:52.335000,-0.00983611300315,0.00429364468374,0.0
1970/01/01/07:21:52.385000,-0.00992444018852,0.00433219326563,0.0
1970/01/01/07:21:52.435000,-0.00992444018852,0.00433219326563,0.0
1970/01/01/07:21:52.485000,-0.0100119320459,0.00437037727912,0.0
1970/01/01/07:21:52.535000,-0.0101844562985,0.00444567191312,0.0
1970/01/01/07:21:52.585000,-0.0101844562985,0.00444567191312,0.0
1970/01/01/07:21:52.635000,-0.0103537781545,0.0045195689198,0.0
1970/01/01/07:21:52.685000,-0.0103537781545,0.0045195689198,0.0
1970/01/01/07:21:52.735000,-0.0105199884758,0.00459210795855,0.0
1970/01/01/07:21:52.785000,-0.0105199884758,0.00459210795855,0.0
1970/01/01/07:21:52.835000,-0.0106019546601,0.00462788039482,0.0
1970/01/01/07:21:52.885000,-0.0106864249533,0.0046647456971,0.0
1970/01/01/07:21:52.935000,-0.0107636814309,0.0046984626795,0.0
1970/01/01/07:21:52.985000,-0.0108434391504,0.0047332712768,0.0
1970/01/01/07:21:53.035000,-0.0110008322939,0.00480196223953,0.0
1970/01/01/07:21:53.085000,-0.0110008322939,0.00480196223953,0.0
1970/01/01/07:21:53.135000,-0.011078486287,0.00483585270907,0.0
1970/01/01/07:21:53.185000,-0.0111554579816,0.00486944540362,0.0
1970/01/01/07:21:53.235000,-0.0112317569075,0.00490274448228,0.0
1970/01/01/07:21:53.285000,-0.0113073924843,0.00493575405599,0.0
1970/01/01/07:21:53.335000,-0.0114567182085,0.00500092416126,0.0
1970/01/01/07:21:53.385000,-0.0114567182085,0.00500092416126,0.0
1970/01/01/07:21:53.435000,-0.0116034876979,0.00506497865098,0.0
1970/01/01/07:21:53.485000,-0.0116759414434,0.00509659958064,0.0
1970/01/01/07:21:53.536000,-0.0117477853154,0.00512795434366,0.0
1970/01/01/07:21:53.585000,-0.0118190273641,0.00515904645347,0.0
1970/01/01/07:21:53.636000,-0.0118190273641,0.00515904645347,0.0
1970/01/01/07:21:53.685000,-0.0118896754974,0.00518987936124,0.0
1970/01/01/07:21:53.735000,-0.0119611386828,0.00522106798154,0.0
1970/01/01/07:21:53.785000,-0.012029227443,0.00525078390419,0.0
1970/01/01/07:21:53.835000,-0.0120981367303,0.00528085792881,0.0
1970/01/01/07:21:53.885000,-0.0123237312145,0.0053793139474,0.0
1970/01/01/07:21:53.935000,-0.0123237312145,0.0053793139474,0.0
1970/01/01/07:21:53.985000,-0.0125717077933,0.00548753816542,0.0
1970/01/01/07:21:54.035000,-0.0129336246516,0.00564548924766,0.0
1970/01/01/07:21:54.086000,-0.0134416333599,0.00586719907803,0.0
1970/01/01/07:21:54.135000,-0.0140925727727,0.00615128804036,0.0
1970/01/01/07:21:54.185000,-0.0158989356912,0.00693963755032,0.0
1970/01/01/07:21:54.235000,-0.0158989356912,0.00693963755032,0.0
1970/01/01/07:21:54.285000,-0.0184460554507,0.00805127497027,0.0
1970/01/01/07:21:54.335000,-0.0184460554507,0.00805127497027,0.0
1970/01/01/07:21:54.385000,-0.021832278565,0.00952912158986,0.0
1970/01/01/07:21:54.435000,-0.021832278565,0.00952912158986,0.0
1970/01/01/07:21:54.485000,-0.0238937545901,0.010428809907,0.0
1970/01/01/07:21:54.535000,-0.0261030691284,0.011393019267,0.0
1970/01/01/07:21:54.585000,-0.0286056274795,0.0124852087874,0.0
1970/01/01/07:21:54.635000,-0.0313567025723,0.0136858582688,0.0
1970/01/01/07:21:54.685000,-0.0376985071433,0.0164519022808,0.0
1970/01/01/07:21:54.736000,-0.0413688615621,0.0180521479366,0.0
1970/01/01/07:21:54.785000,-0.0454101586158,0.0198139983915,0.0
1970/01/01/07:21:54.835000,-0.0498478253888,0.0217484610968,0.0
1970/01/01/07:21:54.885000,-0.0498478253888,0.0217484610968,0.0
1970/01/01/07:21:54.935000,-0.0547045610298,0.0238654310727,0.0
1970/01/01/07:21:54.985000,-0.0658042743152,0.028699594215,0.0
1970/01/01/07:21:55.035000,-0.0721194902536,0.0314482882701,0.0
1970/01/01/07:21:55.085000,-0.0721194902536,0.0314482882701,0.0
1970/01/01/07:21:55.136000,-0.0789906419672,0.0344382232658,0.0
1970/01/01/07:21:55.185000,-0.0863964458115,0.037658329065,0.0
1970/01/01/07:21:55.236000,-0.0943920222732,0.0411326539891,0.0
1970/01/01/07:21:55.285000,-0.1024267258,0.0446224379256,0.0
1970/01/01/07:21:55.335000,-0.111119279529,0.0483943308186,0.0
1970/01/01/07:21:55.385000,-0.128796759296,0.0560568079118,0.0
1970/01/01/07:21:55.436000,-0.138080732234,0.0600756743368,0.0
1970/01/01/07:21:55.485000,-0.14757319207,0.0641812314114,0.0
1970/01/01/07:21:55.537000,-0.157270920916,0.0683707899989,0.0
1970/01/01/07:21:55.585000,-0.157270920916,0.0683707899989,0.0
1970/01/01/07:21:55.635000,-0.177177590945,0.0769607768998,0.0
1970/01/01/07:21:55.685000,-0.177177590945,0.0769607768998,0.0
1970/01/01/07:21:55.735000,-0.187369764539,0.0813532678534,0.0
1970/01/01/07:21:55.785000,-0.197699061273,0.0858014743467,0.0
1970/01/01/07:21:55.836000,-0.218758480672,0.0948562603315,0.0
1970/01/01/07:21:55.886000,-0.229471980666,0.0994549700341,0.0
1970/01/01/07:21:55.935000,-0.229471980666,0.0994549700341,0.0
1970/01/01/07:21:55.985000,-0.240505296003,0.104186436292,0.0
1970/01/01/07:21:56.035000,-0.262226271045,0.113484294037,0.0
1970/01/01/07:21:56.085000,-0.273334799299,0.118230663665,0.0
1970/01/01/07:21:56.136000,-0.273334799299,0.118230663665,0.0
1970/01/01/07:21:56.185000,-0.284518619071,0.123004281845,0.0
1970/01/01/07:21:56.235000,-0.296010128216,0.12790252687,0.0
1970/01/01/07:21:56.285000,-0.318514327096,0.137478777253,0.0
1970/01/01/07:21:56.335000,-0.318514327096,0.137478777253,0.0
